0,1,85
1,0,85
0,2,99
2,0,99
0,3,51
3,0,51
0,4,16
4,0,16
0,5,28
5,0,28
0,6,66
6,0,66
0,7,39
7,0,39
0,8,22
8,0,22
0,9,61
9,0,61
0,10,98
10,0,98
0,11,49
11,0,49
0,12,22
12,0,22
0,13,96
13,0,96
0,14,2
14,0,2
0,15,86
15,0,86
0,16,30
16,0,30
0,17,73
17,0,73
0,18,40
18,0,40
0,19,12
19,0,12
1,2,53
2,1,53
1,3,67
3,1,67
1,4,59
4,1,59
1,5,61
5,1,61
1,6,37
6,1,37
1,7,86
7,1,86
1,8,71
8,1,71
1,9,84
9,1,84
1,10,100
10,1,100
1,11,31
11,1,31
1,12,17
12,1,17
1,13,68
13,1,68
1,14,5
14,1,5
1,15,81
15,1,81
1,16,63
16,1,63
1,17,87
17,1,87
1,18,50
18,1,50
1,19,95
19,1,95
2,3,49
3,2,49
2,4,39
4,2,39
2,5,90
5,2,90
2,6,33
6,2,33
2,7,62
7,2,62
2,8,37
8,2,37
2,9,50
9,2,50
2,10,76
10,2,76
2,11,96
11,2,96
2,12,94
12,2,94
2,13,99
13,2,99
2,14,35
14,2,35
2,15,32
15,2,32
2,16,57
16,2,57
2,17,21
17,2,21
2,18,50
18,2,50
2,19,4
19,2,4
3,4,32
4,3,32
3,5,24
5,3,24
3,6,75
6,3,75
3,7,83
7,3,83
3,8,13
8,3,13
3,9,15
9,3,15
3,10,63
10,3,63
3,11,10
11,3,10
3,12,58
12,3,58
3,13,34
13,3,34
3,14,12
14,3,12
3,15,58
15,3,58
3,16,71
16,3,71
3,17,43
17,3,43
3,18,78
18,3,78
3,19,69
19,3,69
4,5,35
5,4,35
4,6,51
6,4,51
4,7,29
7,4,29
4,8,13
8,4,13
4,9,41
9,4,41
4,10,12
10,4,12
4,11,70
11,4,70
4,12,53
12,4,53
4,13,44
13,4,44
4,14,8
14,4,8
4,15,24
15,4,24
4,16,25
16,4,25
4,17,8
17,4,8
4,18,91
18,4,91
4,19,28
19,4,28
5,6,63
6,5,63
5,7,63
7,5,63
5,8,64
8,5,64
5,9,55
9,5,55
5,10,4
10,5,4
5,11,73
11,5,73
5,12,60
12,5,60
5,13,14
13,5,14
5,14,97
14,5,97
5,15,27
15,5,27
5,16,22
16,5,22
5,17,32
17,5,32
5,18,67
18,5,67
5,19,60
19,5,60
6,7,25
7,6,25
6,8,24
8,6,24
6,9,3
9,6,3
6,10,96
10,6,96
6,11,63
11,6,63
6,12,46
12,6,46
6,13,67
13,6,67
6,14,70
14,6,70
6,15,42
15,6,42
6,16,36
16,6,36
6,17,33
17,6,33
6,18,62
18,6,62
6,19,3
19,6,3
7,8,71
8,7,71
7,9,98
9,7,98
7,10,84
10,7,84
7,11,54
11,7,54
7,12,47
12,7,47
7,13,61
13,7,61
7,14,18
14,7,18
7,15,50
15,7,50
7,16,8
16,7,8
7,17,11
17,7,11
7,18,17
18,7,17
7,19,100
19,7,100
8,9,6
9,8,6
8,10,1
10,8,1
8,11,94
11,8,94
8,12,54
12,8,54
8,13,14
13,8,14
8,14,66
14,8,66
8,15,77
15,8,77
8,16,85
16,8,85
8,17,65
17,8,65
8,18,38
18,8,38
8,19,13
19,8,13
9,10,28
10,9,28
9,11,73
11,9,73
9,12,93
12,9,93
9,13,1
13,9,1
9,14,9
14,9,9
9,15,62
15,9,62
9,16,67
16,9,67
9,17,49
17,9,49
9,18,82
18,9,82
9,19,98
19,9,98
10,11,31
11,10,31
10,12,39
12,10,39
10,13,70
13,10,70
10,14,17
14,10,17
10,15,64
15,10,64
10,16,3
16,10,3
10,17,89
17,10,89
10,18,9
18,10,9
10,19,78
19,10,78
11,12,52
12,11,52
11,13,43
13,11,43
11,14,99
14,11,99
11,15,22
15,11,22
11,16,61
16,11,61
11,17,91
17,11,91
11,18,6
18,11,6
11,19,67
19,11,67
12,13,85
13,12,85
12,14,65
14,12,65
12,15,96
15,12,96
12,16,47
16,12,47
12,17,38
17,12,38
12,18,32
18,12,32
12,19,21
19,12,21
13,14,30
14,13,30
13,15,19
15,13,19
13,16,65
16,13,65
13,17,7
17,13,7
13,18,10
18,13,10
13,19,96
19,13,96
14,15,53
15,14,53
14,16,80
16,14,80
14,17,98
17,14,98
14,18,50
18,14,50
14,19,8
19,14,8
15,16,58
16,15,58
15,17,69
17,15,69
15,18,32
18,15,32
15,19,35
19,15,35
16,17,38
17,16,38
16,18,8
18,16,8
16,19,98
19,16,98
17,18,17
18,17,17
17,19,92
19,17,92
18,19,46
19,18,46
